'name', 'type', 'province', 'city'
'آموزشکده شهید تفویضی', 'دانشگاه جامع علمی کاربردی - دولتی', 'تهران', 'تهران'
'آموزشکده فنی صنعت آب و برق خوزستان', 'دانشگاه جامع علمی کاربردی - دولتی', 'خوزستان', 'اهواز'
'آموزشکده فنی نقشه برداری وابسته  سازمان جغرافیایی وزارت دفاع و پشتیبانی نیروهای مسلح', 'دانشگاه - وابسته', 'تهران', 'تهران'
'آموزشکده فنی نقشه برداری وابسته به سازمان نقشه برداری کشور', 'دانشگاه - وابسته', 'تهران', 'تهران'
'آموزشکده فنی و حرفه ای  پسران شماره 2  کرمانشاه', 'دانشگاه فنی و حرفه ای', 'کرمانشاه', 'کرمانشاه'
'آموزشکده فنی و حرفه ای  پسران شماره 2 ارومیه', 'دانشگاه فنی و حرفه ای', 'آذربایجان غربی', 'ارومیه'
'آموزشکده فنی و حرفه ای پسران آمل', 'دانشگاه فنی و حرفه ای', 'مازندران', 'آمل'
'آموزشکده فنی و حرفه ای پسران ابر کوه', 'دانشگاه فنی و حرفه ای', 'یزد', 'ابرکوه'
'آموزشکده فنی و حرفه ای پسران اراک (امیر کبیر)', 'دانشگاه فنی و حرفه ای', 'مرکزی', 'اراک'
'آموزشکده فنی و حرفه ای پسران ارزوئیه', 'دانشگاه فنی و حرفه ای', 'کرمان', 'ارزوئیه'
'آموزشکده فنی و حرفه ای پسران اسلام آباد غرب', 'دانشگاه فنی و حرفه ای', 'کرمانشاه', 'اسلام\u200cآباد غرب'
'آموزشکده فنی و حرفه ای پسران بابل', 'دانشگاه فنی و حرفه ای', 'مازندران', 'بابل'
'آموزشکده فنی و حرفه ای پسران بوشهر', 'دانشگاه فنی و حرفه ای', 'بوشهر', 'بوشهر'
'آموزشکده فنی و حرفه ای پسران تفت', 'دانشگاه فنی و حرفه ای', 'یزد', 'تفت'
'آموزشکده فنی و حرفه ای پسران خلخال', 'دانشگاه فنی و حرفه ای', 'اردبیل', 'خلخال'
'آموزشکده فنی و حرفه ای پسران دزفول', 'دانشگاه فنی و حرفه ای', 'خوزستان', 'دزفول'
'آموزشکده فنی و حرفه ای پسران رفسنجان', 'دانشگاه فنی و حرفه ای', 'کرمان', 'رفسنجان'
'آموزشکده فنی و حرفه ای پسران زابل', 'دانشگاه فنی و حرفه ای', 'سیستان و بلوچستان', 'زابل'
'آموزشکده فنی و حرفه ای پسران زنجان', 'دانشگاه فنی و حرفه ای', 'زنجان', 'زنجان'
'آموزشکده فنی و حرفه ای پسران سبزوار', 'دانشگاه فنی و حرفه ای', 'خراسان رضوی', 'سبزوار'
'آموزشکده فنی و حرفه ای پسران سمنان', 'دانشگاه فنی و حرفه ای', 'سمنان', 'سمنان'
'آموزشکده فنی و حرفه ای پسران شاهین شهر', 'دانشگاه فنی و حرفه ای', 'اصفهان', 'شاهین شهرومیمه'
'آموزشکده فنی و حرفه ای پسران شماره 1 کرمانشاه', 'دانشگاه فنی و حرفه ای', 'کرمانشاه', 'کرمانشاه'
'آموزشکده فنی و حرفه ای پسران شماره 1 همدان', 'دانشگاه فنی و حرفه ای', 'همدان', 'همدان'
'آموزشکده فنی و حرفه ای پسران شماره 2 مشهد-ثامن الحجج', 'دانشگاه فنی و حرفه ای', 'خراسان رضوی', 'مشهد'
'آموزشکده فنی و حرفه ای پسران شماره 2 همدان', 'دانشگاه فنی و حرفه ای', 'همدان', 'همدان'
'آموزشکده فنی و حرفه ای پسران شماره دو اصفهان - سروش', 'دانشگاه فنی و حرفه ای', 'اصفهان', 'اصفهان'
'آموزشکده فنی و حرفه ای پسران شماره دو اهواز- شهدا', 'دانشگاه فنی و حرفه ای', 'خوزستان', 'اهواز'
'آموزشکده فنی و حرفه ای پسران شماره دو زاهدان', 'دانشگاه فنی و حرفه ای', 'سیستان و بلوچستان', 'زاهدان'
'آموزشکده فنی و حرفه ای پسران شماره دو ساری', 'دانشگاه فنی و حرفه ای', 'مازندران', 'ساری'
'آموزشکده فنی و حرفه ای پسران شماره دو شیراز- شهید رجایی', 'دانشگاه فنی و حرفه ای', 'فارس', 'شیراز'
'آموزشکده فنی و حرفه ای پسران شماره دو یزد- امام علی(ع)', 'دانشگاه فنی و حرفه ای', 'یزد', 'یزد'
'آموزشکده فنی و حرفه ای پسران شهر بابک', 'دانشگاه فنی و حرفه ای', 'کرمان', 'شهر بابک'
'آموزشکده فنی و حرفه ای پسران شهرکرد', 'دانشگاه فنی و حرفه ای', 'چهارمحال و بختیاری', 'شهرکرد'
'آموزشکده فنی و حرفه ای پسران شیروان', 'دانشگاه فنی و حرفه ای', 'خراسان شمالی', 'شیروان'
'آموزشکده فنی و حرفه ای پسران صفادشت - امام علی (ع)', 'دانشگاه فنی و حرفه ای', 'تهران', 'صفادشت'
'آموزشکده فنی و حرفه ای پسران قائن', 'دانشگاه فنی و حرفه ای', 'خراسان جنوبی', 'قائنات'
'آموزشکده فنی و حرفه ای پسران قوچان', 'دانشگاه فنی و حرفه ای', 'خراسان رضوی', 'قوچان'
'آموزشکده فنی و حرفه ای پسران کرج', 'دانشگاه فنی و حرفه ای', 'البرز', 'کرج'
'آموزشکده فنی و حرفه ای پسران گرگان', 'دانشگاه فنی و حرفه ای', 'گلستان', 'گرگان'
'آموزشکده فنی و حرفه ای پسران گناباد', 'دانشگاه فنی و حرفه ای', 'خراسان رضوی', 'گناباد'
'آموزشکده فنی و حرفه ای پسران لارستان', 'دانشگاه فنی و حرفه ای', 'فارس', 'لارستان'
'آموزشکده فنی و حرفه ای پسران لاهیجان', 'دانشگاه فنی و حرفه ای', 'گیلان', 'لاهیجان'
'آموزشکده فنی و حرفه ای پسران میانه', 'دانشگاه فنی و حرفه ای', 'آذربایجان شرقی', 'میانه'
'آموزشکده فنی و حرفه ای پسران میبد - امام خمینی (ره)', 'دانشگاه فنی و حرفه ای', 'یزد', 'میبد'
'آموزشکده فنی و حرفه ای پسران نوشهر', 'دانشگاه فنی و حرفه ای', 'مازندران', 'نوشهر'
'آموزشکده فنی و حرفه ای پسران نیشابور', 'دانشگاه فنی و حرفه ای', 'خراسان رضوی', 'نیشابور'
'آموزشکده فنی و حرفه ای دختران ارومیه', 'دانشگاه فنی و حرفه ای', 'آذربایجان غربی', 'ارومیه'
'آموزشکده فنی و حرفه ای دختران اصفهان', 'دانشگاه فنی و حرفه ای', 'اصفهان', 'اصفهان'
'آموزشکده فنی و حرفه ای دختران اقلید', 'دانشگاه فنی و حرفه ای', 'فارس', 'اقلید'
'آموزشکده فنی و حرفه ای دختران بابل', 'دانشگاه فنی و حرفه ای', 'مازندران', 'بابل'
'آموزشکده فنی و حرفه ای دختران بروجرد', 'دانشگاه فنی و حرفه ای', 'لرستان', 'بروجرد'
'آموزشکده فنی و حرفه ای دختران بندرعباس', 'دانشگاه فنی و حرفه ای', 'هرمزگان', 'بندرعباس'
'آموزشکده فنی و حرفه ای دختران تهران-ولیعصر(عج)', 'دانشگاه فنی و حرفه ای', 'تهران', 'تهران'
'آموزشکده فنی و حرفه ای دختران جونقان', 'دانشگاه فنی و حرفه ای', 'چهارمحال و بختیاری', 'فارسان'
'آموزشکده فنی و حرفه ای دختران خرم آباد', 'دانشگاه فنی و حرفه ای', 'لرستان', 'خرم آباد'
